Conditions,Nutritional Suggestions
,"Maintain a balanced diet rich in fruits, vegetables, lean proteins, whole grains, and healthy fats."
Acne,"Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
Kidney disease,"Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites."
"Kidney disease, Acne","Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
Hypertension,"Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy."
"Hypertension, Acne","Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Hypertension, Kidney disease","Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites."
"Hypertension, Kidney disease, Acne","Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
Diabetes,"Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables."
"Diabetes, Acne","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Diabetes, Kidney disease","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites."
"Diabetes, Kidney disease, Acne","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Diabetes, Hypertension","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy."
"Diabetes, Hypertension, Acne","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Diabetes, Hypertension, Kidney disease","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites."
"Diabetes, Hypertension, Kidney disease, Acne","Fiber, Low glycemic index foods, Magnesium; foods like whole grains, beans, and non-starchy vegetables. | Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
Heart disease,"Omega-3 fatty acids, Fiber, Antioxidants; foods like salmon, oats, and berries."
"Heart disease, Acne","Omega-3 fatty acids, Fiber, Antioxidants; foods like salmon, oats, and berries. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Heart disease, Kidney disease","Omega-3 fatty acids, Fiber, Antioxidants; foods like salmon, oats, and berries. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites."
"Heart disease, Kidney disease, Acne","Omega-3 fatty acids, Fiber, Antioxidants; foods like salmon, oats, and berries. | Low sodium, Potassium control, High-quality protein; foods like apples, cauliflower, and egg whites. | Vitamin A, Zinc, Omega-3 fatty acids; foods like carrots, nuts, fish, and leafy greens."
"Heart disease, Hypertension","Omega-3 fatty acids, Fiber, Antioxidants; foods like salmon, oats, and berries. | Potassium, Magnesium, Calcium; foods like bananas, spinach, and low-fat dairy."
